4449	0
1184	0
1435	2
70693	2
749	1
563	2
1187	1
38771	2
34164	0
68761	0
14026	5
1146	2
61989	2
412	2
43991	2
1325	2
604	1
17	0
35849	0
5216	2
959	2
53518	1
11	2
64660	2
628	2
31875	2
8599	0
17829	2
645	2
19339	2
1231	1
1220	2
1370	2
5596	1
45512	2
211	0
13090	1
750	2
37831	1
2044	2
21572	1
1066	2
69994	1
69589	0
475	2
7202	2
1312	2
51553	0
1414	2
28929	2
12688	2
1207	0
6899	0
1237	2
38578	2
62519	2
7295	1
56618	0
4660	2
100	2
1171	1
1549	0
1564	2
223	0
83	0
32124	0
9304	0
35402	0
58749	2
29500	1
66522	1
1186	2
7663	1
63427	0
398	2
64359	0
63778	2
1099	2
63817	1
1217	2
38715	6
987	2
418	0
61543	2
552	2
16571	2
1296	1
67593	2
53968	2
27812	2
1291	2
51967	0
2206	2
161	0
4918	1
8576	1
25677	1
22324	2
54953	2
21082	0
16289	1
24616	2
65021	2
14570	2
1577	2
59066	1
20631	2
54107	1
35658	0
1495	2
1001	0
18720	0
20313	2
23156	0
1313	2
19488	2
363	2
14089	0
661	2
858	2
33581	1
2647	2
1629	2
53911	2
70056	2
9637	2
568	2
1782	2
48282	0
11742	2
34644	1
9238	1
912	2
44952	2
54748	2
10158	-1
21906	2
40103	1
22886	0
128	2
1529	1
2430	2
44353	0
898	2
631	1
576	0
73707	2
35551	2
53075	0
594	2
14452	1
72929	2
1636	2
51702	2
1627	2
40035	2
59014	1
60495	2
35723	2
11459	2
1528	1
1141	0
465	0
1285	1
52739	1
28813	0
354	2
26187	2
65454	2
36640	2
13514	2
23574	2
53523	0
32174	2
16118	0
582	0
17604	2
14754	0
12832	1
23261	2
1297	2
70798	2
2645	1
1209	0
1566	0
56302	2
58975	2
3291	1
1654	0
225	2
37310	1
26310	0
1433	1
42	2
37344	2
52706	0
14728	0
73940	2
24128	1
7833	2
32403	2
60802	0
73138	0
839	0
44007	0
1342	2
1412	2
32778	2
54552	2
70320	1
50894	2
51952	2
63916	2
65008	2
1053	2
67044	2
1021	1
1266	2
53684	2
72952	1
35550	0
12039	2
1446	0
4377	1
242	2
380	1
18833	2
824	2
17606	2
24338	2
14440	0
32159	2
41095	1
39127	1
19066	0
5251	2
982	2
68571	0
1108	1
30904	1
19606	0
74022	2
28841	0
1490	1
1481	2
17047	2
66708	0
64868	2
63037	2
46130	1
989	1
23235	2
6112	1
72476	1
42054	0
65659	2
241	2
17647	1
61625	2
1520	2
116	2
67544	0
21165	2
42063	2
62281	2
67838	2
1557	2
1174	2
24409	2
34979	2
