carid,pushPrice,update_price,barging_times,barging_price,transcycle,pushDate_year,pushDate_month,pushDate_day,barging_times_pushPrice_max,barging_times_pushPrice_min,barging_times_pushPrice_median,barging_times_pushPrice_sum,barging_times_pushPrice_mad,pushDate_year_pushPrice_max,pushDate_year_pushPrice_min,pushDate_year_pushPrice_median,pushDate_year_pushPrice_sum,pushDate_year_pushPrice_mad,pushDate_month_pushPrice_max,pushDate_month_pushPrice_min,pushDate_month_pushPrice_median,pushDate_month_pushPrice_sum,pushDate_month_pushPrice_mad,pushDate_day_pushPrice_max,pushDate_day_pushPrice_min,pushDate_day_pushPrice_median,pushDate_day_pushPrice_sum,pushDate_day_pushPrice_mad
68603,3.98,0.0,0.0,0.0,0,2021,3,11,658.0,0.1,8.8,70029.27860000098,8.942504842470692,210.0,0.1,8.7,39574.98980000011,8.026246231497964,108.0,0.45,9.0,9436.379300000002,9.017434442428256,95.0,0.6,10.54,3973.0292000000045,9.945037023836045
12312,4.5,0.0,0.0,0.0,31,2021,5,14,658.0,0.1,8.8,70029.27860000098,8.942504842470692,210.0,0.1,8.7,39574.98980000011,8.026246231497964,176.0,0.4,8.8,11586.005799999944,8.429474586858268,658.0,0.5,10.48,4304.129800000002,11.59799062407945
57655,23.0,1.0,1.0,0.8999999999999986,3,2021,4,5,176.0,0.19,9.58,23684.525499999927,8.557671716177596,210.0,0.1,8.7,39574.98980000011,8.026246231497964,119.0,0.3,9.9,12072.94439999996,8.841058199147682,210.0,0.78,10.5,4270.2715000000035,11.820361806589657
45688,20.5798,0.0,0.0,0.0,3,2020,9,1,658.0,0.1,8.8,70029.27860000098,8.942504842470692,658.0,0.26,9.6,67311.85020000084,9.242330573739086,658.0,0.7,9.8,8966.158899999993,11.552976194220376,58.0,0.6,9.415,2199.7648000000017,7.657611414982164
52081,11.9,1.0,1.0,0.379999999999999,32,2021,5,20,176.0,0.19,9.58,23684.525499999927,8.557671716177596,210.0,0.1,8.7,39574.98980000011,8.026246231497964,176.0,0.4,8.8,11586.005799999944,8.429474586858268,184.3,0.45,9.8,4333.379500000004,8.986925702393341
6729,16.8799,3.0,3.0,1.6201000000000008,5,2021,1,15,91.0,0.3,10.8,3418.279100000002,9.928268611570246,210.0,0.1,8.7,39574.98980000011,8.026246231497964,90.88,0.88,8.8,6093.14930000001,7.741405941012186,61.8,0.7799,9.59,3299.859600000003,7.845878515625001
766,9.8,0.0,0.0,0.0,25,2021,7,25,658.0,0.1,8.8,70029.27860000098,8.942504842470692,210.0,0.1,8.7,39574.98980000011,8.026246231497964,210.0,0.15,8.88,15210.095499999932,8.505232379232847,80.0,0.7,8.97995,3745.964600000003,8.336713319830245
10453,10.8,0.0,0.0,0.0,52,2021,1,29,658.0,0.1,8.8,70029.27860000098,8.942504842470692,210.0,0.1,8.7,39574.98980000011,8.026246231497964,90.88,0.88,8.8,6093.14930000001,7.741405941012186,57.8,0.26,8.79,3321.2346000000016,7.663585759634662
65800,12.28,0.0,0.0,0.0,3,2021,4,1,658.0,0.1,8.8,70029.27860000098,8.942504842470692,210.0,0.1,8.7,39574.98980000011,8.026246231497964,119.0,0.3,9.9,12072.94439999996,8.841058199147682,58.0,0.6,9.415,2199.7648000000017,7.657611414982164
36776,16.8,0.0,0.0,0.0,9,2020,7,16,658.0,0.1,8.8,70029.27860000098,8.942504842470692,658.0,0.26,9.6,67311.85020000084,9.242330573739086,210.0,0.15,8.88,15210.095499999932,8.505232379232847,176.0,0.3,7.94,2913.5594000000015,9.927865743801652
